estacion,grado,grado_ponderado,betweenness,closeness,clustering,lat,lng,alcaldia
Pantitlán,0.0,0.0,0.0,0.0,0.0,19.415359,-99.072132,Venustiano Carranza
Parque de los venados,0.0,0.0,0.0,0.0,0.0,19.3707,-99.1587,Benito Juarez
Patriotismo,7.0,80689.04462659381,0.0,2.588282087221727e-05,1.0,19.4062,-99.1789,Miguel Hidalgo
Peñón Viejo,0.0,0.0,0.0,0.0,0.0,19.37332,-99.017093,Iztapalapa
Periférico Oriente,0.0,0.0,0.0,0.0,0.0,19.3177,-99.0746,Iztapalapa
Pino Suárez,0.0,0.0,0.0,0.0,0.0,19.425336,-99.132943,Cuauhtemoc
Plaza Aragón,0.0,0.0,0.0,0.0,0.0,19.528447,-99.030118,Gustavo A. Madero
Polanco,10.0,143416.9556010929,0.0,1.9605648767325546e-05,1.0,19.433511,-99.191029,Miguel Hidalgo
Politécnico,0.0,0.0,0.0,0.0,0.0,19.50082,-99.149294,Gustavo A. Madero
Popotla,16.0,146178.04121129325,0.0012422360248447205,3.2009040186887006e-05,0.9833333333333333,19.452147,-99.1747,Miguel Hidalgo
Portales,17.0,226499.62317850636,0.0,2.5868561421476756e-05,0.9779411764705882,19.3698,-99.1416,Benito Juarez
Potrero,14.0,191163.8982240437,0.0,2.8226449335676415e-05,1.0,19.47691,-99.132171,Gustavo A. Madero
Puebla,7.0,110156.41347905282,0.0,2.137372946786719e-05,1.0,19.407142,-99.082432,Venustiano Carranza
Refinería,0.0,0.0,0.0,0.0,0.0,19.469951,-99.190578,Miguel Hidalgo
Revolución,0.0,0.0,0.0,0.0,0.0,19.439561,-99.155431,Miguel Hidalgo
Ricardo Flores Magón,0.0,0.0,0.0,0.0,0.0,19.436567,-99.103675,Otro
Río de los Remedios,0.0,0.0,0.0,0.0,0.0,19.490908,-99.046597,Gustavo A. Madero
Romero Rubio,8.0,84688.67418032787,0.0,3.060159255154426e-05,1.0,19.440735,-99.094362,Venustiano Carranza
Salto del Agua,25.0,302379.7638888889,0.017701863354037266,3.249740477258034e-05,0.49333333333333335,19.426813,-99.142213,Cuauhtemoc
San Andrés Tomatlán,0.0,0.0,0.0,0.0,0.0,19.3283,-99.1049,Tlalpan
San Antonio,10.0,99020.50887978142,0.0,2.335415353467736e-05,1.0,19.384757,-99.186308,Benito Juarez
San Antonio Abad,17.0,222478.92372495448,0.0,2.615068802528874e-05,0.9779411764705882,19.418597,-99.134145,Cuauhtemoc
San Cosme,17.0,216820.78164845172,0.0,2.655829746348413e-05,0.9779411764705882,19.441706,-99.161096,Miguel Hidalgo
San Joaquín,0.0,0.0,0.0,0.0,0.0,19.445793,-99.191823,Miguel Hidalgo
San Juan de Letrán,0.0,0.0,0.0,0.0,0.0,19.431305,-99.141569,Cuauhtemoc
San Lázaro,0.0,0.0,0.0,0.0,0.0,19.430213,-99.114833,Otro
San Pedro de los Pinos,10.0,100838.42281420766,0.0,2.317273599655162e-05,1.0,19.391275,-99.186051,Benito Juarez
Santa Anita,21.0,109178.01457194898,0.06964285714285715,3.9130312105374476e-05,0.5428571428571428,19.40273,-99.121699,Cuauhtemoc
Santa Marta,6.0,102359.63661202186,0.0,2.1844790766460006e-06,1.0,19.36,-98.994863,Iztapalapa
Sevilla,11.0,194406.59016393445,0.0,2.215849592242287e-05,1.0,19.421916,-99.17058,Miguel Hidalgo
Tacuba,27.0,349247.4107468125,0.00986024844720497,2.8056706332888192e-05,0.5128205128205128,19.459349,-99.189205,Miguel Hidalgo
Tacubaya,28.0,444614.37181238615,0.01482919254658385,2.811389658004551e-05,0.328042328042328,19.403439,-99.187102,Miguel Hidalgo
Talismán,0.0,0.0,0.0,0.0,0.0,19.47428,-99.108009,Gustavo A. Madero
Tasqueña,0.0,0.0,0.0,0.0,0.0,19.344168,-99.142685,Benito Juarez
Tepalcates,6.0,85972.96311475411,0.0,2.6008465495552584e-06,1.0,19.391335,-99.046383,Venustiano Carranza
Tepito,8.0,113649.13729508195,0.0,2.5288154290355654e-05,1.0,19.442495,-99.12333,Otro
Terminal Aérea,0.0,0.0,0.0,0.0,0.0,19.433734,-99.087667,Venustiano Carranza
Tezonco,11.0,134850.19262295082,0.0,2.490298730986491e-05,1.0,19.306111111111,-99.065,Iztapalapa
Tezozómoc,0.0,0.0,0.0,0.0,0.0,19.495116,-99.196286,Otro
Tláhuac,0.0,0.0,0.0,0.0,0.0,19.286256,-99.014114,Tlahuac
Tlaltenco,11.0,71636.28551912568,0.0,3.371003367629082e-05,1.0,19.294166666667,-99.023888888889,Iztapalapa
Tlatelolco,14.0,205470.07855191253,0.0,2.6842662485243775e-05,1.0,19.454979,-99.142814,Miguel Hidalgo
UAM-I,14.0,159041.45104735883,0.0,2.690345078370408e-05,1.0,19.351234,-99.074707,Iztapalapa
Universidad,14.0,342717.29439890705,0.0,1.825634919092061e-05,1.0,19.324427,-99.17397,Coyoacan
Valle Gómez,0.0,0.0,0.0,0.0,0.0,19.458742,-99.119296,Otro
Vallejo,4.0,29211.473360655735,0.0,2.247088740736618e-05,1.0,19.490625,-99.15586,Otro
Velódromo,0.0,0.0,0.0,0.0,0.0,19.408478,-99.103074,Otro
Viaducto,16.0,207769.8226320583,0.0,2.6574658459406303e-05,0.9833333333333333,19.400808,-99.136891,Cuauhtemoc
Villa de Aragón,0.0,0.0,0.0,0.0,0.0,19.461656,-99.061704,Venustiano Carranza
Villa de Cortés,0.0,0.0,0.0,0.0,0.0,19.38753,-99.138994,Benito Juarez
Viveros/Derechos Humanos,14.0,206687.26571038255,0.0,2.6731165145775058e-05,1.0,19.353724,-99.176052,Benito Juarez
Xola,17.0,215209.2625227687,0.0,2.6676725696837455e-05,0.9779411764705882,19.3952,-99.1377,Cuauhtemoc
Zapata,25.0,302687.46789617493,0.03408385093167702,3.3117241401978405e-05,0.49,19.370952,-99.164937,Benito Juarez
Zapotitlán,0.0,0.0,0.0,0.0,0.0,19.296666666667,-99.034444444444,Iztapalapa
Zaragoza,11.0,251854.40437158474,0.0,1.8293730938668684e-05,1.0,19.412344,-99.08241,Venustiano Carranza
Zócalo,0.0,0.0,0.0,0.0,0.0,19.433248,-99.1329,Cuauhtemoc
